,xcoord,ycoord
s_008um_00091_00487-1,6837.366408817729,2931.4332428349235
s_008um_00074_00446-1,8026.9805576943145,2416.6964336413325
s_008um_00179_00209-1,14993.482728375664,5376.218197834668
s_008um_00674_00456-1,7998.10712141395,19935.921417100762
s_008um_00703_00141-1,17207.759727296958,20643.90252353411
s_008um_00379_00122-1,17621.4638606198,11176.893339177259
s_008um_00204_00254-1,13690.259953516343,6126.2916066755015
s_008um_00489_00561-1,4851.825035414127,14582.691520232653
s_008um_00668_00414-1,9221.5735008521,19742.331873213363
s_008um_00671_00468-1,7646.488605462911,19853.641053867916
s_008um_00017_00144-1,16821.18424953192,616.5893196406365
s_008um_00683_00141-1,17199.045634757247,20060.09419517125
s_008um_00510_00477-1,7313.145512255959,15158.479448728105
s_008um_00494_00274-1,13232.9332877854,14601.624967266036
s_008um_00615_00220-1,14862.539995116864,18109.914480584936
s_008um_00322_00281-1,12953.378310966762,9583.474266703446
s_008um_00578_00494-1,6846.7084031914765,17150.7571518319
s_008um_00420_00343-1,11185.887165121892,12471.992231512268
s_008um_00037_00153-1,16567.040046745253,1204.6790611133947
s_008um_00025_00124-1,17408.82090094986,841.210399420099
s_008um_00473_00589-1,4027.4691758141394,14128.085539632079
s_008um_00586_00326-1,11754.852430020455,17310.14520672284
s_008um_00604_00170-1,16317.770911607415,17766.76998376105
s_008um_00674_00430-1,8757.111834113473,19924.487818837155
s_008um_00204_00289-1,12668.198802616518,6141.937877785767
s_008um_00084_00479-1,7067.865316295576,2723.4723289943004
s_008um_00591_00478-1,7319.482792747034,17523.13107592057
s_008um_00649_00482-1,7228.156732145063,19217.71100828171
s_008um_00298_00618-1,3103.9970910699794,9032.931087707877
s_008um_00340_00166-1,16319.478450002945,10057.806329351859
s_008um_00690_00380-1,10223.798252810606,20369.49043619288
s_008um_00207_00629-1,2742.862407859615,6381.4752194118355
s_008um_00225_00535-1,5494.843208108981,6864.94222792916
s_008um_00187_00487-1,6879.494123656373,5734.143954797793
s_008um_00315_00368-1,10409.990556826899,9417.85201527932
s_008um_00536_00356-1,10857.082523879943,15863.9069735005
s_008um_00104_00227-1,14435.073810007554,3194.358798498441
s_008um_00252_00636-1,2558.3311449724483,7698.198884817126
s_008um_00428_00512-1,6255.419216084727,12780.485456296503
s_008um_00579_00539-1,5533.548868157253,17199.797082952737
s_008um_00534_00094-1,18506.69088989992,15689.723374249308
s_008um_00283_00252-1,13783.170134421503,8431.933578355707
s_008um_00190_00463-1,7581.506957454298,5810.994290446057
s_008um_00341_00386-1,9895.819710651263,10184.888053172774
s_008um_00776_00493-1,6962.770528918136,22929.006462109377
s_008um_00621_00107-1,18164.921023606334,18235.25924639634
s_008um_00611_00144-1,17080.06753795131,17959.648257654146
s_008um_00429_00405-1,9379.629743963978,12762.220282067477
s_008um_00332_00605-1,3498.4281346756907,10019.599877307473
s_008um_00537_00229-1,14565.696788238722,15836.972753741748
s_008um_00654_00529-1,5858.384160427947,19384.322114984923
s_008um_00099_00464-1,7512.395512991403,3154.68201620372
s_008um_00135_00281-1,12871.653144541828,4123.732592212162
s_008um_00729_00123-1,17744.71428338563,21394.939824782105
s_008um_00698_00524-1,6023.651052417444,20666.255332522524
s_008um_00139_00195-1,15384.887356012656,4201.992802984157
s_008um_00513_00304-1,12365.277753296752,15169.536520330772
s_008um_00342_00599-1,3677.9691608659145,10308.827230825442
s_008um_00756_00494-1,6924.805970172952,22345.770265892148
s_008um_00199_00557-1,4841.167532834922,6115.761090565931
s_008um_00639_00380-1,10201.471988550175,18880.94029561888
s_008um_00233_00613-1,3221.35723382782,7133.306029751651
s_008um_00172_00497-1,6580.958620313026,5300.705384742158
s_008um_00330_00577-1,4314.895227879492,9948.761687901315
s_008um_00645_00175-1,16189.640988282385,18965.810073366523
s_008um_00036_00133-1,17150.746086020285,1166.4837742216987
s_008um_00625_00535-1,5670.510212460657,18540.587819271816
s_008um_00642_00496-1,6816.407026932342,19019.57191609868
s_008um_00288_00295-1,12529.712566601002,8597.080306627688
s_008um_00262_00393-1,9656.840580884256,7881.717903551091
s_008um_00521_00296-1,12602.36020088556,15399.527436294129
s_008um_00671_00635-1,2771.8890862420617,19927.079317915206
s_008um_00144_00325-1,11590.729174513637,4406.224496227751
s_008um_00564_00556-1,5030.726988890852,16769.503765496273
s_008um_00628_00498-1,6751.8816732187515,18611.848762144677
s_008um_00471_00141-1,17106.669767147196,13871.291333058407
s_008um_00760_00551-1,5262.768851518642,22487.494503992788
s_008um_00466_00529-1,5775.837121561486,13897.199793809785
s_008um_00665_00318-1,12022.970288138973,19612.538784730437
s_008um_00085_00182-1,15740.994750311975,2619.3647980213523
s_008um_00227_00274-1,13116.270901432257,6806.7591851538455
s_008um_00176_00246-1,13911.65039085169,5305.179729367895
s_008um_00317_00574-1,4396.755607776665,9567.952772763012
s_008um_00640_00252-1,13939.079754750937,18853.765384849394
s_008um_00709_00510-1,6437.139194787792,20981.134748722536
s_008um_00237_00564-1,4653.516424734877,7228.198362033281
s_008um_00535_00185-1,15849.661501830813,15759.141417895133
s_008um_00103_00472-1,7280.5769286802215,3275.053671572199
s_008um_00293_00513-1,6166.962354561484,8840.199213307702
s_008um_00415_00523-1,5928.595599814369,12405.902158651308
s_008um_00550_00173-1,16206.622301303916,16191.726141106043
s_008um_00590_00347-1,11143.47632332244,17436.16583642913
s_008um_00402_00585-1,4113.017344743194,12053.957462472477
s_008um_00503_00595-1,3865.52103571806,15006.354574989193
s_008um_00207_00183-1,15765.006982025767,6182.145442904352
s_008um_00128_00551-1,4985.131153242763,4040.341466976365
s_008um_00599_00471-1,7527.337088956944,17753.540728389675
s_008um_00774_00412-1,9326.391621311292,22835.14369745748
s_008um_00212_00502-1,6452.540971372563,6470.691955269792
s_008um_00757_00470-1,7625.818852932923,22364.431005504008
s_008um_00534_00530-1,5776.50457960227,15882.417546738978
s_008um_00581_00287-1,12891.36584650353,17146.98921273269
s_008um_00664_00444-1,8344.031241298702,19638.78243420478
s_008um_00442_00619-1,3138.1530176595784,13236.563491228057
s_008um_00090_00343-1,11041.492416661336,2837.622196849565
s_008um_00220_00280-1,12938.003430199535,6605.063189320877
s_008um_00315_00299-1,12424.7151257643,9387.125912974898
s_008um_00284_00388-1,9812.463469981078,8521.756603711216
s_008um_00168_00467-1,7455.0727649777355,5170.503869718798
s_008um_00099_00515-1,6023.398222070744,3177.557785151365
s_008um_00567_00413-1,9206.522232180907,16793.946194924738
s_008um_00402_00291-1,12696.342109663892,11923.443809663791
s_008um_00651_00300-1,12542.390611145478,19195.97925423016
s_008um_00411_00616-1,3212.0847818040543,12330.41057449802
s_008um_00620_00116-1,17901.658339049278,18210.033626203647
s_008um_00664_00362-1,10737.92204928308,19602.708559554816
s_008um_00251_00168-1,16222.26320179621,7460.160860618651
s_008um_00711_00172-1,16306.018159010147,20891.042730982626
s_008um_00772_00442-1,8449.751639336067,22789.921788331376
s_008um_00455_00331-1,11551.571208208325,13488.388572044058
s_008um_00177_00527-1,5707.313051492275,5460.096146269599
s_008um_00128_00414-1,8984.981567684992,3978.95133165355
s_008um_00608_00325-1,11793.670161490463,17951.868496194897
s_008um_00450_00155-1,16688.671322920443,13264.412813498711
s_008um_00316_00693-1,922.7319808691233,9591.735365935232
s_008um_00537_00252-1,13894.10088550765,15847.13751217996
s_008um_00518_00532-1,5711.096701527165,15416.30325546284
s_008um_00572_00607-1,3545.5943531157372,17025.497793881448
s_008um_00607_00310-1,12231.186035356177,17916.066820509604
s_008um_00658_00538-1,5597.431482896767,19505.022232339576
s_008um_00137_00109-1,17895.72705022509,4105.055742827178
s_008um_00430_00337-1,11365.44862787075,12761.251554129221
s_008um_00440_00548-1,5209.779876697253,13146.71591424852
s_008um_00521_00215-1,14967.520003583124,15363.710504722738
s_008um_00250_00360-1,10615.123964842947,7516.659270453551
s_008um_00359_00581-1,4210.877916508769,10797.046641811812
s_008um_00052_00116-1,17654.246934274266,1626.0755360432263
s_008um_00123_00512-1,6121.521382141059,3876.8925414604555
s_008um_00119_00338-1,11200.18471684939,3682.114560768063
s_008um_00280_00474-1,7299.834642404422,8443.319580861664
s_008um_00220_00639-1,2456.676901498873,6765.429776262957
s_008um_00642_00367-1,10582.318705854337,18962.77975396026
s_008um_00215_00399-1,9461.067619965848,6512.253231153555
s_008um_00062_00222-1,14562.758337172974,1965.7176804271119
s_008um_00346_00323-1,11737.483346972851,10302.828522806143
s_008um_00532_00450-1,8111.009037411951,15788.69035141145
s_008um_00492_00159-1,16590.16745122547,14492.336762468525
